# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0.5	CC	66.9245	2970
geom_100_1	1	0.5	CC	67.3363	7651
geom_100_2	1	0.5	CC	67.7536	7911
geom_100_3	1	0.5	CC	68.4866	23074
geom_100_4	1	0.5	CC	65.6701	1527
geom_100_5	1	0.5	CC	68.7868	18733
geom_100_6	1	0.5	CC	68.3031	2235
geom_100_7	1	0.5	CC	67.104	2984
geom_100_8	1	0.5	CC	67.7497	3531
geom_100_9	1	0.5	CC	66.3107	10637
geom_150_0	1	0.5	CC	88.9298	118530
geom_150_1	1	0.5	CC	88.1812	70526
geom_150_2	1	0.5	CC	93.1128	83549
geom_150_3	1	0.5	CC	91.216	74483
geom_150_4	1	0.5	CC	89.22	60181
geom_150_5	1	0.5	CC	84.8498	32686
geom_150_6	1	0.5	CC	87.3921	44630
geom_150_7	1	0.5	CC	90.7432	80548
geom_150_8	1	0.5	CC	88.9878	53169
geom_150_9	1	0.5	CC	86.426	15285
geom_200_0	1	0.5	CC	105.037	103571
geom_200_1	1	0.5	CC	107.994	299168
geom_200_2	1	0.5	CC	107.521	119546
geom_200_3	1	0.5	CC	108.395	803934
geom_200_4	1	0.5	CC	106.611	589452
geom_200_5	1	0.5	CC	108.115	287785
geom_200_6	1	0.5	CC	109.132	162479
geom_200_7	1	0.5	CC	105.918	118555
geom_200_8	1	0.5	CC	106.722	899563
geom_200_9	1	0.5	CC	108.987	84606
geom_250_0	1	0.5	CC	123.486	686384
geom_250_1	1	0.5	CC	125.885	899942
geom_250_2	1	0.5	CC	127.086	414903
geom_250_3	1	0.5	CC	124.138	473420
geom_250_4	1	0.5	CC	-	-
geom_250_5	1	0.5	CC	125.583	264593
geom_250_6	1	0.5	CC	-	-
geom_250_7	1	0.5	CC	128.205	601146
geom_250_8	1	0.5	CC	128.102	899838
geom_250_9	1	0.5	CC	128.442	899793
geom_300_0	1	0.5	CC	-	-
geom_300_1	1	0.5	CC	-	-
geom_300_2	1	0.5	CC	147.818	648409
geom_300_3	1	0.5	CC	144.861	900383
geom_300_4	1	0.5	CC	-	-
geom_300_5	1	0.5	CC	150.235	900199
geom_300_6	1	0.5	CC	-	-
geom_300_7	1	0.5	CC	141.36	496592
geom_300_8	1	0.5	CC	137.11	900526
geom_300_9	1	0.5	CC	-	-
geom_350_0	1	0.5	CC	163.603	900735
geom_350_1	1	0.5	CC	-	-
geom_350_2	1	0.5	CC	-	-
geom_350_3	1	0.5	CC	-	-
geom_350_4	1	0.5	CC	-	-
geom_350_5	1	0.5	CC	-	-
geom_350_6	1	0.5	CC	-	-
geom_350_7	1	0.5	CC	-	-
geom_350_8	1	0.5	CC	-	-
geom_350_9	1	0.5	CC	-	-
geom_50_0	1	0.5	CC	39.6156	110
geom_50_1	1	0.5	CC	40.4588	782
geom_50_2	1	0.5	CC	41.8884	373
geom_50_3	1	0.5	CC	-	-
geom_50_4	1	0.5	CC	43.3665	716
geom_50_5	1	0.5	CC	41.406	315
geom_50_6	1	0.5	CC	37.3584	852
geom_50_7	1	0.5	CC	42.2697	1045
geom_50_8	1	0.5	CC	39.4438	518
geom_50_9	1	0.5	CC	43.0824	493
geom_100_0	1	0.5	T	66.925	10152
geom_100_1	1	0.5	T	67.3363	5229
geom_100_2	1	0.5	T	67.793	16359
geom_100_3	1	0.5	T	68.4866	20414
geom_100_4	1	0.5	T	65.6702	4478
geom_100_5	1	0.5	T	68.8067	31246
geom_100_6	1	0.5	T	68.3084	5523
geom_100_7	1	0.5	T	67.1821	19965
geom_100_8	1	0.5	T	67.7499	8340
geom_100_9	1	0.5	T	66.3107	9557
geom_150_0	1	0.5	T	88.9298	164191
geom_150_1	1	0.5	T	88.2386	148019
geom_150_2	1	0.5	T	93.1983	219466
geom_150_3	1	0.5	T	91.2189	102286
geom_150_4	1	0.5	T	89.2357	90198
geom_150_5	1	0.5	T	84.8539	37708
geom_150_6	1	0.5	T	87.5101	164331
geom_150_7	1	0.5	T	90.7596	107388
geom_150_8	1	0.5	T	88.9946	83107
geom_150_9	1	0.5	T	86.4925	79741
geom_200_0	1	0.5	T	105.037	138360
geom_200_1	1	0.5	T	107.994	449879
geom_200_2	1	0.5	T	107.552	196015
geom_200_3	1	0.5	T	108.484	899863
geom_200_4	1	0.5	T	106.612	835598
geom_200_5	1	0.5	T	108.143	360775
geom_200_6	1	0.5	T	109.132	200111
geom_200_7	1	0.5	T	105.927	176390
geom_200_8	1	0.5	T	-	-
geom_200_9	1	0.5	T	108.993	156045
geom_250_0	1	0.5	T	123.486	747794
geom_250_1	1	0.5	T	-	-
geom_250_2	1	0.5	T	127.094	518729
geom_250_3	1	0.5	T	-	-
geom_250_4	1	0.5	T	121.185	900426
geom_250_5	1	0.5	T	125.622	490736
geom_250_6	1	0.5	T	-	-
geom_250_7	1	0.5	T	128.214	675246
geom_250_8	1	0.5	T	129.07	899903
geom_250_9	1	0.5	T	-	-
geom_300_0	1	0.5	T	-	-
geom_300_1	1	0.5	T	144.077	900319
geom_300_2	1	0.5	T	-	-
geom_300_3	1	0.5	T	-	-
geom_300_4	1	0.5	T	-	-
geom_300_5	1	0.5	T	-	-
geom_300_6	1	0.5	T	-	-
geom_300_7	1	0.5	T	141.36	576066
geom_300_8	1	0.5	T	-	-
geom_300_9	1	0.5	T	-	-
geom_50_0	1	0.5	T	39.6156	144
geom_50_1	1	0.5	T	40.4588	739
geom_50_2	1	0.5	T	41.997	1329
geom_50_3	1	0.5	T	-	-
geom_50_4	1	0.5	T	43.3665	825
geom_50_5	1	0.5	T	41.415	794
geom_50_6	1	0.5	T	37.384	1160
geom_50_7	1	0.5	T	42.2697	766
geom_50_8	1	0.5	T	39.4502	1474
geom_50_9	1	0.5	T	43.0944	1577
geom_350_0	1	0.5	T	-	-
geom_350_1	1	0.5	T	-	-
geom_350_2	1	0.5	T	-	-
geom_350_3	1	0.5	T	-	-
geom_350_4	1	0.5	T	-	-
geom_350_5	1	0.5	T	-	-
geom_350_6	1	0.5	T	-	-
geom_350_7	1	0.5	T	-	-
geom_350_8	1	0.5	T	-	-
geom_350_9	1	0.5	T	-	-
