# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0	CC	56.1276	1416
geom_100_1	1	0	CC	60.0366	1421
geom_100_2	1	0	CC	56.3852	1273
geom_100_3	1	0	CC	56.8013	1309
geom_100_4	1	0	CC	55.1768	1212
geom_100_5	1	0	CC	58.4725	1428
geom_100_6	1	0	CC	56.5231	1290
geom_100_7	1	0	CC	56.985	1399
geom_100_8	1	0	CC	56.2582	1231
geom_100_9	1	0	CC	55.395	1302
geom_150_0	1	0	CC	75.3471	4146
geom_150_1	1	0	CC	73.8701	3004
geom_150_2	1	0	CC	80.4255	3113
geom_150_3	1	0	CC	79.6348	3407
geom_150_4	1	0	CC	77.6475	2894
geom_150_5	1	0	CC	76.6084	3337
geom_150_6	1	0	CC	75.2628	3082
geom_150_7	1	0	CC	75.6089	3591
geom_150_8	1	0	CC	74.8482	3526
geom_150_9	1	0	CC	80.157	2728
geom_200_0	1	0	CC	90.7769	7285
geom_200_1	1	0	CC	94.1559	7629
geom_200_2	1	0	CC	92.0773	6736
geom_200_3	1	0	CC	93.7702	7779
geom_200_4	1	0	CC	94.7508	6991
geom_200_5	1	0	CC	95.6457	7191
geom_200_6	1	0	CC	89.7053	7987
geom_200_7	1	0	CC	93.5375	7197
geom_200_8	1	0	CC	94.4487	6043
geom_200_9	1	0	CC	93.1896	6954
geom_250_0	1	0	CC	103.966	11154
geom_250_1	1	0	CC	110.355	10636
geom_250_2	1	0	CC	106.618	10031
geom_250_3	1	0	CC	110.779	11701
geom_250_4	1	0	CC	106.612	11993
geom_250_5	1	0	CC	110.137	11520
geom_250_6	1	0	CC	104.893	10933
geom_250_7	1	0	CC	113.666	11838
geom_250_8	1	0	CC	112.958	11069
geom_250_9	1	0	CC	110.508	12286
geom_300_0	1	0	CC	123.975	19239
geom_300_1	1	0	CC	125.081	20857
geom_300_2	1	0	CC	125.65	18207
geom_300_3	1	0	CC	125.649	17143
geom_300_4	1	0	CC	126.969	18098
geom_300_5	1	0	CC	125.134	16313
geom_300_6	1	0	CC	129.144	16726
geom_300_7	1	0	CC	125.289	18617
geom_300_8	1	0	CC	123.118	17771
geom_300_9	1	0	CC	125.947	16674
geom_350_0	1	0	CC	130.904	20803
geom_350_1	1	0	CC	137.413	21195
geom_350_2	1	0	CC	137.239	20942
geom_350_3	1	0	CC	144.542	23832
geom_350_4	1	0	CC	142.911	21095
geom_350_5	1	0	CC	141.405	21755
geom_350_6	1	0	CC	135.884	20755
geom_350_7	1	0	CC	142.188	30038
geom_350_8	1	0	CC	141.842	21445
geom_350_9	1	0	CC	138.329	23465
geom_50_0	1	0	CC	37.6351	305
geom_50_1	1	0	CC	34.0319	281
geom_50_2	1	0	CC	36.3978	255
geom_50_3	1	0	CC	35.079	275
geom_50_4	1	0	CC	34.9152	250
geom_50_5	1	0	CC	40.5988	306
geom_50_6	1	0	CC	36.1281	294
geom_50_7	1	0	CC	33.991	283
geom_50_8	1	0	CC	34.174	281
geom_50_9	1	0	CC	35.4171	252
geom_100_0	1	0	T	62.4108	1427
geom_100_1	1	0	T	72.603	1414
geom_100_2	1	0	T	68.9516	1268
geom_100_3	1	0	T	63.0845	1324
geom_100_4	1	0	T	63.9225	1223
geom_100_5	1	0	T	64.7557	1444
geom_100_6	1	0	T	56.5231	1292
geom_100_7	1	0	T	78.9761	1352
geom_100_8	1	0	T	58.3526	1259
geom_100_9	1	0	T	55.395	1296
geom_150_0	1	0	T	80.3781	4075
geom_150_1	1	0	T	78.0589	2981
geom_150_2	1	0	T	86.7086	3108
geom_150_3	1	0	T	81.7292	3450
geom_150_4	1	0	T	81.944	2902
geom_150_5	1	0	T	84.9859	3315
geom_150_6	1	0	T	84.0378	3100
geom_150_7	1	0	T	88.1753	3498
geom_150_8	1	0	T	81.1313	3572
geom_150_9	1	0	T	81.9699	2676
geom_200_0	1	0	T	90.7769	7403
geom_200_1	1	0	T	95.8398	7631
geom_200_2	1	0	T	106.615	6717
geom_200_3	1	0	T	106.337	7688
geom_200_4	1	0	T	112.898	6973
geom_200_5	1	0	T	101.929	7173
geom_200_6	1	0	T	97.6558	8042
geom_200_7	1	0	T	110.664	7173
geom_200_8	1	0	T	97.203	5983
geom_200_9	1	0	T	99.4727	6957
geom_250_0	1	0	T	116.533	11299
geom_250_1	1	0	T	120.137	10630
geom_250_2	1	0	T	112.901	10199
geom_250_3	1	0	T	123.345	11741
geom_250_4	1	0	T	108.706	12282
geom_250_5	1	0	T	123.667	11413
geom_250_6	1	0	T	111.177	10899
geom_250_7	1	0	T	115.418	11812
geom_250_8	1	0	T	115.052	11148
geom_250_9	1	0	T	116.791	12427
geom_300_0	1	0	T	130.258	19251
geom_300_1	1	0	T	137.647	20729
geom_300_2	1	0	T	131.933	18278
geom_300_3	1	0	T	134.027	17052
geom_300_4	1	0	T	135.966	17946
geom_300_5	1	0	T	134.21	16273
geom_300_6	1	0	T	130.192	16737
geom_300_7	1	0	T	126.691	18344
geom_300_8	1	0	T	141.214	17774
geom_300_9	1	0	T	125.947	16562
geom_350_0	1	0	T	143.471	20861
geom_350_1	1	0	T	137.413	21116
geom_350_2	1	0	T	156.089	21123
geom_350_3	1	0	T	144.542	23906
geom_350_4	1	0	T	145.005	21145
geom_350_5	1	0	T	149.783	21965
geom_350_6	1	0	T	139.737	20589
geom_350_7	1	0	T	156.849	29868
geom_350_8	1	0	T	151.177	21252
geom_350_9	1	0	T	151.195	23582
geom_50_0	1	0	T	43.9183	297
geom_50_1	1	0	T	36.2764	280
geom_50_2	1	0	T	38.2397	248
geom_50_3	1	0	T	43.4565	287
geom_50_4	1	0	T	34.9152	260
geom_50_5	1	0	T	41.646	297
geom_50_6	1	0	T	37.8019	296
geom_50_7	1	0	T	33.991	280
geom_50_8	1	0	T	40.4572	292
geom_50_9	1	0	T	41.7003	239
