# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_350_1	1	0.5	T	167.534	14348
geom_350_2	1	0.5	T	181.495	13877
geom_350_3	1	0.5	T	185.348	10726
geom_350_4	1	0.5	T	168.631	9409
geom_350_5	1	0.5	T	166.409	13017
geom_350_6	1	0.5	T	169.033	11386
geom_350_7	1	0.5	T	171.383	13205
geom_350_8	1	0.5	T	175.973	12711
geom_350_9	1	0.5	T	170.726	15177
geom_50_0	1	0.5	T	39.6156	83
geom_50_1	1	0.5	T	41.7691	143
geom_50_2	1	0.5	T	44.6796	131
geom_50_3	1	0.5	T	45.2821	95
geom_50_4	1	0.5	T	46.376	182
geom_50_5	1	0.5	T	50.0649	103
geom_50_6	1	0.5	T	39.265	136
geom_50_7	1	0.5	T	43.7795	90
geom_50_8	1	0.5	T	48.31	122
geom_50_9	1	0.5	T	44.6889	85
