# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0	CC	59.4021	538
geom_100_1	1	0	CC	60.9465	654
geom_100_2	1	0	CC	60.8145	603
geom_100_3	1	0	CC	63.5362	722
geom_100_4	1	0	CC	58.1156	551
geom_100_5	1	0	CC	61.8696	897
geom_100_6	1	0	CC	61.7253	770
geom_100_7	1	0	CC	60.0522	507
geom_100_8	1	0	CC	60.4746	594
geom_100_9	1	0	CC	59.1871	497
geom_150_0	1	0	CC	84.5541	2681
geom_150_1	1	0	CC	81.6328	1562
geom_150_2	1	0	CC	83.2767	1917
geom_150_3	1	0	CC	85.6877	1753
geom_150_4	1	0	CC	80.8716	1680
geom_150_5	1	0	CC	79.1512	1604
geom_150_6	1	0	CC	77.0684	1637
geom_150_7	1	0	CC	84.0336	6117
geom_150_8	1	0	CC	79.7004	2510
geom_150_9	1	0	CC	77.9126	2618
geom_200_0	1	0	CC	95.0127	3349
geom_200_1	1	0	CC	99.8134	3184
geom_200_2	1	0	CC	97.6558	3691
geom_200_3	1	0	CC	98.0279	3395
geom_200_4	1	0	CC	96.7554	3293
geom_200_5	1	0	CC	98.8582	4007
geom_200_6	1	0	CC	98.2804	3743
geom_200_7	1	0	CC	96.5444	6087
geom_200_8	1	0	CC	96.1098	3310
geom_200_9	1	0	CC	98.8343	3132
geom_250_0	1	0	CC	113.861	4452
geom_250_1	1	0	CC	112.173	6313
geom_250_2	1	0	CC	116.458	5462
geom_250_3	1	0	CC	112.696	7421
geom_250_4	1	0	CC	111.093	6518
geom_250_5	1	0	CC	112.862	5429
geom_250_6	1	0	CC	110.79	5389
geom_250_7	1	0	CC	118.417	6314
geom_250_8	1	0	CC	115.244	6341
geom_250_9	1	0	CC	118.78	5447
geom_300_0	1	0	CC	133.338	6689
geom_300_1	1	0	CC	130.24	8279
geom_300_2	1	0	CC	135.101	10601
geom_300_3	1	0	CC	130.968	7483
geom_300_4	1	0	CC	125.981	9747
geom_300_5	1	0	CC	133.336	8171
geom_300_6	1	0	CC	133.661	11684
geom_300_7	1	0	CC	128.538	7096
geom_300_8	1	0	CC	125.554	9757
geom_300_9	1	0	CC	133.412	7557
geom_350_0	1	0	CC	148.121	12909
geom_350_1	1	0	CC	143.919	42302
geom_350_2	1	0	CC	140.054	10258
