# instance   solver  ObjVal  Time(ms)    Creation(ms)    InitialIP(ms)   Calculations(ms)    CPLEX-Separations(ms)   Separation-Iterations   Cuts-added
fc_1000_dense_0.gg	F1-CC	180.0	3225	13	3212	0	0	1	0
fc_1000_dense_0.gg	F1-CC	180.0	3299	16	3283	0	0	1	0
fc_1000_dense_0.gg	F1-T-B	OutOfTime
fc_1000_dense_0.gg	F1-CC	180.0	3166	16	3150	0	0	1	0
fc_1000_dense_0.gg	F1-T-B	OutOfTime
fc_1000_dense_0.gg	F1-T-A	OutOfTime
fc_1000_dense_1.gg	F1-CC	146.0	660	13	647	0	0	1	0
fc_1000_dense_1.gg	F1-T-B	146.0	1286	14	729	6	537	2	2
fc_1000_dense_1.gg	F1-T-A	146.0	1224	13	667	8	536	2	2
fc_1000_dense_2.gg	F1-CC	136.0	739	13	726	0	0	1	0
fc_1000_dense_2.gg	F1-T-B	136.0	1044	13	757	6	268	2	3
fc_1000_dense_2.gg	F1-T-A	136.0	1032	13	726	7	286	2	3
fc_1000_dense_3.gg	F1-CC	160.0	2620	13	2607	0	0	1	0
fc_1000_dense_3.gg	F1-T-B	162.0	74900	13	2529	10	72348	3	8
fc_1000_dense_3.gg	F1-T-A	162.0	5912	13	2576	8	3315	2	7
fc_1000_dense_4.gg	F1-CC	140.0	542	13	529	0	0	1	0
fc_1000_dense_4.gg	F1-T-B	140.0	612	13	493	6	100	2	2
fc_1000_dense_4.gg	F1-T-A	140.0	612	13	493	8	98	2	2
fc_1000_sparse_0.gg	F1-CC	OutOfTime
fc_1000_sparse_0.gg	F1-T-B	OutOfTime
fc_1000_sparse_0.gg	F1-T-A	OutOfTime
fc_1000_sparse_1.gg	F1-CC	OutOfTime
fc_1000_sparse_1.gg	F1-T-B	OutOfTime
fc_1000_sparse_1.gg	F1-T-A	OutOfTime
fc_1000_sparse_2.gg	F1-CC	OutOfTime
fc_1000_sparse_2.gg	F1-T-B	OutOfTime
fc_1000_sparse_2.gg	F1-T-A	OutOfTime
fc_1000_sparse_3.gg	F1-CC	OutOfTime
fc_1000_sparse_3.gg	F1-T-B	OutOfTime
fc_1000_sparse_3.gg	F1-T-A	OutOfTime
fc_1000_sparse_4.gg	F1-CC	OutOfTime
fc_1000_sparse_4.gg	F1-T-B	OutOfTime
fc_1000_sparse_4.gg	F1-T-A	OutOfTime
fc_100_dense_0.gg	F1-CC	38.0	41	7	34	0	0	1	0
fc_100_dense_0.gg	F1-T-B	38.0	53	3	27	0	23	2	2
fc_100_dense_0.gg	F1-T-A	38.0	53	3	27	0	23	2	2
fc_100_dense_1.gg	F1-CC	34.0	100	7	93	0	0	1	0
fc_100_dense_1.gg	F1-T-B	34.0	64	3	61	0	0	1	0
fc_100_dense_1.gg	F1-T-A	34.0	62	3	59	0	0	1	0
fc_100_dense_3.gg	F1-CC	30.0	53	3	50	0	0	1	0
fc_100_dense_3.gg	F1-T-B	30.0	228	3	50	0	175	4	9
fc_100_dense_3.gg	F1-T-A	30.0	290	7	75	0	208	4	9
fc_100_sparse_0.gg	F1-CC	60.0	43	7	36	0	0	1	0
fc_100_sparse_0.gg	F1-T-B	60.0	96	3	20	0	73	4	9
fc_100_sparse_0.gg	F1-T-A	60.0	57	3	18	0	36	3	8
fc_100_sparse_1.gg	F1-CC	56.0	49	7	42	0	0	1	0
fc_100_sparse_1.gg	F1-T-B	56.0	60	3	23	0	34	3	7
fc_100_sparse_1.gg	F1-T-A	56.0	37	3	23	0	11	2	6
fc_100_sparse_3.gg	F1-CC	40.0	114	3	111	0	0	1	0
fc_100_sparse_3.gg	F1-T-B	40.0	183	3	123	0	57	2	2
fc_100_sparse_3.gg	F1-T-A	40.0	201	3	145	0	53	2	4
fc_200_dense_0.gg	F1-CC	46.0	59	4	55	0	0	1	0
fc_200_dense_0.gg	F1-T-B	OutOfTime
fc_200_dense_0.gg	F1-T-A	46.0	224	4	56	1	163	3	7
fc_200_dense_1.gg	F1-CC	36.0	27	4	23	0	0	1	0
